Ingredient_ID	Target_ID	Activity_Type	Activity_Relationship	Activity_Value	Activity_Unit	Reference_ID	Reference_ID_Type	Gene_Symbol	Protein_Name	Uniprot_ID	ChEMBL_ID	TTD_ID	if_DTP	if_CYP	if_therapeutic_target	Target_Class_Level1	Target_Class_Level2	Target_Class_Level3	Target_Class_level_displayed	Target_type
NPC1075	NPT149	Potency	=	1258.9	nM	463096	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC1075	NPT212	Potency	=	15848.9	nM	463095	PMID	CYP2C9	Cytochrome P450 2C9	P11712	CHEMBL3397	T19244	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2	Cytochrome P450
NPC1075	NPT212	AC50	=	15848.93	nM	463095	PMID	CYP2C9	Cytochrome P450 2C9	P11712	CHEMBL3397	T19244	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2	Cytochrome P450
NPC257124	NPT31	IC50	=	129000	nM	482386	PMID	PTGS2	Cyclooxygenase-2	P35354	CHEMBL230	T66665	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC257124	NPT31	IC50	=	129000	nM	482388	PMID	PTGS2	Cyclooxygenase-2	P35354	CHEMBL230	T66665	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC257124	NPT30	IC50	=	11000	nM	482388	PMID	PTGS1	Cyclooxygenase-1	P23219	CHEMBL221	T03403	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC257124	NPT153	IC50	=	19000	nM	482396	PMID	AR	Androgen Receptor	P10275	CHEMBL1871	NA	0	0	1	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 3	Nuclear hormone receptor subfamily 3	Therapeutic Target
NPC257124	NPT153	IC50	=	19054.61	nM	482396	PMID	AR	Androgen Receptor	P10275	CHEMBL1871	NA	0	0	1	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 3	Nuclear hormone receptor subfamily 3	Therapeutic Target
NPC257124	NPT94	Potency	=	14125.4	nM	482397	PMID	ALDH1A1	Aldehyde dehydrogenase 1A1	P00352	CHEMBL3577	T99641	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC257124	NPT109	Potency	=	3981.1	nM	482398	PMID	CYP3A4	Cytochrome P450 3A4	P08684	CHEMBL340	NA	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3	Cytochrome P450
NPC257124	NPT109	Potency	=	3981.1	nM	482398	PMID	CYP3A4	Cytochrome P450 3A4	P08684	CHEMBL340	NA	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3	Cytochrome P450
NPC257124	NPT2691	IC50	=	187000	nM	482420	PMID	CACNA1C	Voltage-gated L-type calcium channel alpha-1C subunit	Q13936	CHEMBL1940	T51115	1	0	0	Ion channel	Voltage-gated ion channel	Voltage-gated calcium channel	Voltage-gated calcium channel	Drug Transporter
NPC257124	NPT346	EC50	=	169824.37	nM	482430	PMID	TRPA1	Transient receptor potential cation channel subfamily A member 1	O75762	CHEMBL6007	T84040	0	0	1	Ion channel	Voltage-gated ion channel	Transient receptor potential channel	Transient receptor potential channel	Therapeutic Target
NPC257124	NPT346	EC50	=	168000	nM	482430	PMID	TRPA1	Transient receptor potential cation channel subfamily A member 1	O75762	CHEMBL6007	T84040	0	0	1	Ion channel	Voltage-gated ion channel	Transient receptor potential channel	Transient receptor potential channel	Therapeutic Target
NPC257124	NPT346	EC50	=	261000	nM	482430	PMID	TRPA1	Transient receptor potential cation channel subfamily A member 1	O75762	CHEMBL6007	T84040	0	0	1	Ion channel	Voltage-gated ion channel	Transient receptor potential channel	Transient receptor potential channel	Therapeutic Target
NPC257124	NPT570	IC50	=	26000	nM	482432	PMID	ALOX5	Arachidonate 5-lipoxygenase	P09917	CHEMBL215	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC257124	NPT346	EC50	=	116000	nM	482437	PMID	TRPA1	Transient receptor potential cation channel subfamily A member 1	O75762	CHEMBL6007	T84040	0	0	1	Ion channel	Voltage-gated ion channel	Transient receptor potential channel	Transient receptor potential channel	Therapeutic Target
NPC109813	NPT1287	EC50	=	1900	nM	500123	PMID	CNR2	Cannabinoid CB2 receptor	P34972	CHEMBL253	T37693	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Small molecule receptor (family A GPCR)	Therapeutic Target
NPC109813	NPT1287	Ki	=	150	nM	500123	PMID	CNR2	Cannabinoid CB2 receptor	P34972	CHEMBL253	T37693	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Small molecule receptor (family A GPCR)	Therapeutic Target
NPC173996	NPT51	Potency	=	3981.1	nM	527745	PMID	MAPT	Microtubule-associated protein tau	P10636	CHEMBL1293224	NA	0	0	1	Other cytosolic protein	n.a.	n.a.	Other cytosolic protein	Therapeutic Target
NPC96835	NPT240	IC50	=	97000	nM	528550	PMID	CYP2A6	Cytochrome P450 2A6	P11509	CHEMBL5282	T06455	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2	Cytochrome P450
NPC96835	NPT240	IC50	=	97051	nM	528552	PMID	CYP2A6	Cytochrome P450 2A6	P11509	CHEMBL5282	T06455	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2	Cytochrome P450
NPC96835	NPT149	Potency	=	39810.7	nM	528553	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC96835	NPT50	Potency	=	1995.3	nM	528553	PMID	TDP1	Tyrosyl-DNA phosphodiesterase 1	Q9NUW8	CHEMBL1075138	T33492	0	0	1	Enzyme	Phosphodiesterase	n.a.	Phosphodiesterase	Therapeutic Target
NPC96835	NPT210	Potency	=	1000	nM	528553	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC96835	NPT94	Potency	=	35481.3	nM	528553	PMID	ALDH1A1	Aldehyde dehydrogenase 1A1	P00352	CHEMBL3577	T99641	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC96835	NPT210	Potency	=	1000	nM	528553	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC241349	NPT143	IC50	=	84000	nM	541864	PMID	TOP1	DNA topoisomerase I	P11387	CHEMBL1781	T09826	0	0	1	Enzyme	Isomerase	n.a.	Isomerase	Therapeutic Target
NPC159589	NPT94	Potency	=	14125.4	nM	552251	PMID	ALDH1A1	Aldehyde dehydrogenase 1A1	P00352	CHEMBL3577	T99641	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC292758	NPT211	Potency	=	5011.9	nM	565826	PMID	HIF1A	Hypoxia-inducible factor 1 alpha	Q16665	CHEMBL4261	NA	0	0	1	Transcription factor	n.a.	n.a.	Transcription factor	Therapeutic Target
NPC292758	NPT211	Potency	=	5011.9	nM	565826	PMID	HIF1A	Hypoxia-inducible factor 1 alpha	Q16665	CHEMBL4261	NA	0	0	1	Transcription factor	n.a.	n.a.	Transcription factor	Therapeutic Target
NPC292758	NPT110	Potency	=	631	nM	565826	PMID	CYP2D6	Cytochrome P450 2D6	P10635	CHEMBL289	T57392	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2	Cytochrome P450
NPC292758	NPT110	AC50	=	630.96	nM	565826	PMID	CYP2D6	Cytochrome P450 2D6	P10635	CHEMBL289	T57392	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2	Cytochrome P450
NPC292758	NPT208	AC50	=	5011.87	nM	565826	PMID	CYP1A2	Cytochrome P450 1A2	P05177	CHEMBL3356	NA	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 1	Cytochrome P450 family 1	Cytochrome P450
NPC234053	NPT2217	IC50	=	50000	nM	570609	PMID	CYP51A1	Cytochrome P450 51	Q16850	CHEMBL3849	T32972	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 51	Cytochrome P450 family 51	Cytochrome P450
NPC234053	NPT149	Potency	=	19952.6	nM	570638	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC234053	NPT48	Potency	=	28183.8	nM	570639	PMID	KDM4E	Lysine-specific demethylase 4D-like	B2RXH2	CHEMBL1293226	T17036	0	0	1	Epigenetic regulator	Eraser	Lysine demethylase	Lysine demethylase	Therapeutic Target
NPC234053	NPT93	Potency	=	14125.4	nM	570638	PMID	SMN1	Survival motor neuron protein	Q16637	CHEMBL1293232	NA	0	0	1	Epigenetic regulator	Reader	Methyl-lysine/arginine binding protein	Methyl-lysine/arginine binding protein	Therapeutic Target
NPC234053	NPT210	Potency	=	7943.3	nM	570638	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC234053	NPT94	Potency	=	37650.5	nM	570639	PMID	ALDH1A1	Aldehyde dehydrogenase 1A1	P00352	CHEMBL3577	T99641	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC234053	NPT94	Potency	=	19952.6	nM	570638	PMID	ALDH1A1	Aldehyde dehydrogenase 1A1	P00352	CHEMBL3577	T99641	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC234053	NPT210	Potency	=	7943.3	nM	570638	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC234053	NPT151	Potency	=	31622.8	nM	570639	PMID	HPGD	15-hydroxyprostaglandin dehydrogenase [NAD+]	P15428	CHEMBL1293255	NA	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC234053	NPT149	Potency	=	31622.8	nM	570638	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC234053	NPT109	Potency	=	15848.9	nM	570638	PMID	CYP3A4	Cytochrome P450 3A4	P08684	CHEMBL340	NA	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3	Cytochrome P450
NPC234053	NPT109	Potency	=	15848.9	nM	570638	PMID	CYP3A4	Cytochrome P450 3A4	P08684	CHEMBL340	NA	0	1	0	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3	Cytochrome P450
NPC234053	NPT613	IC50	=	7300	nM	570743	PMID	SLC22A1	Solute carrier family 22 member 1	O15245	CHEMBL5685	NA	1	0	0	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC superfamily of solute carriers	Drug Transporter
NPC299405	NPT143	IC50	=	45000	nM	573616	PMID	TOP1	DNA topoisomerase I	P11387	CHEMBL1781	T09826	0	0	1	Enzyme	Isomerase	n.a.	Isomerase	Therapeutic Target
NPC299405	NPT144	IC50	=	37300	nM	573617	PMID	TERT	Telomerase reverse transcriptase	O14746	CHEMBL2916	NA	0	0	1	Enzyme	Transferase	n.a.	Transferase	Therapeutic Target
NPC246693	NPT143	IC50	=	208000	nM	574253	PMID	TOP1	DNA topoisomerase I	P11387	CHEMBL1781	T09826	0	0	1	Enzyme	Isomerase	n.a.	Isomerase	Therapeutic Target
NPC246693	NPT178	IC50	=	25000	nM	574255	PMID	PTPN1	Protein-tyrosine phosphatase 1B	P18031	CHEMBL335	NA	0	0	1	Enzyme	Phosphatase	Protein Phosphatase	Protein Phosphatase	Therapeutic Target
NPC246693	NPT47	Potency	=	10000	nM	574266	PMID	RECQL	ATP-dependent DNA helicase Q1	P46063	CHEMBL1293236	NA	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT93	Potency	=	5623.4	nM	574266	PMID	SMN1	Survival motor neuron protein	Q16637	CHEMBL1293232	NA	0	0	1	Epigenetic regulator	Reader	Methyl-lysine/arginine binding protein	Methyl-lysine/arginine binding protein	Therapeutic Target
NPC246693	NPT51	Potency	=	2238.7	nM	574266	PMID	MAPT	Microtubule-associated protein tau	P10636	CHEMBL1293224	NA	0	0	1	Other cytosolic protein	n.a.	n.a.	Other cytosolic protein	Therapeutic Target
NPC246693	NPT46	Potency	=	28183.8	nM	574266	PMID	THRB	Thyroid hormone receptor beta-1	P10828	CHEMBL1947	T98933	0	0	1	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 1	Nuclear hormone receptor subfamily 1	Therapeutic Target
NPC246693	NPT51	Potency	=	4466.8	nM	574266	PMID	MAPT	Microtubule-associated protein tau	P10636	CHEMBL1293224	NA	0	0	1	Other cytosolic protein	n.a.	n.a.	Other cytosolic protein	Therapeutic Target
NPC246693	NPT94	Potency	=	15848.9	nM	574266	PMID	ALDH1A1	Aldehyde dehydrogenase 1A1	P00352	CHEMBL3577	T99641	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC246693	NPT51	Potency	=	12589.3	nM	574266	PMID	MAPT	Microtubule-associated protein tau	P10636	CHEMBL1293224	NA	0	0	1	Other cytosolic protein	n.a.	n.a.	Other cytosolic protein	Therapeutic Target
NPC246693	NPT52	IC50	=	12960	nM	574279	PMID	PKM	Pyruvate kinase isozymes M1/M2	P14618	CHEMBL1075189	T65889	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT52	IC50	=	8820	nM	574279	PMID	PKM	Pyruvate kinase isozymes M1/M2	P14618	CHEMBL1075189	T65889	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT52	IC50	=	10000	nM	574282	PMID	PKM	Pyruvate kinase isozymes M1/M2	P14618	CHEMBL1075189	T65889	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT52	IC50	=	500	nM	574282	PMID	PKM	Pyruvate kinase isozymes M1/M2	P14618	CHEMBL1075189	T65889	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT52	IC50	=	12960	nM	574284	PMID	PKM	Pyruvate kinase isozymes M1/M2	P14618	CHEMBL1075189	T65889	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT52	IC50	=	8820	nM	574284	PMID	PKM	Pyruvate kinase isozymes M1/M2	P14618	CHEMBL1075189	T65889	0	0	1	Enzyme	n.a.	n.a.	Enzyme	Therapeutic Target
NPC246693	NPT3060	IC50	=	220	nM	574286	PMID	CDC25A	Dual specificity phosphatase Cdc25A	P30304	CHEMBL3775	T30823	0	0	1	Enzyme	Phosphatase	Protein Phosphatase	Protein Phosphatase	Therapeutic Target
NPC246693	NPT911	IC50	=	400	nM	574286	PMID	CDC25B	Dual specificity phosphatase Cdc25B	P30305	CHEMBL4804	T46365	0	0	1	Enzyme	Phosphatase	Protein Phosphatase	Protein Phosphatase	Therapeutic Target
NPC246693	NPT285	IC50	=	139.2	nM	574289	PMID	EGFR	Epidermal growth factor receptor erbB1	P00533	CHEMBL203	NA	0	0	1	Enzyme	Kinase	Protein Kinase	Protein Kinase	Therapeutic Target
