"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0016101","diterpenoid metabolic process","5/24","89/18986",0.0561797752808989,44.4428838951311,14.614570944351,8.00442273971509e-08,5.49869040380428e-06,2.49840563317423e-06,"EGFR/ALDH1A1/CYP1A2/CYP2D6/CYP3A4",5
"BP","GO:2000628","regulation of miRNA metabolic process","5/24","92/18986",0.0543478260869565,42.9936594202899,14.3643020991741,9.45966795268732e-08,6.22761473551916e-06,2.82960243146173e-06,"TP53/EGFR/TERT/AR/HIF1A",5
"BP","GO:0008210","estrogen metabolic process","4/24","40/18986",0.1,79.1083333333333,17.5929006687023,1.74059233387034e-07,1.10005435500605e-05,4.99824830189292e-06,"CYP2C9/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:0010586","miRNA metabolic process","5/24","110/18986",0.0454545454545455,35.9583333333333,13.0816018792141,2.31914175783326e-07,1.40932460668329e-05,6.40346023822786e-06,"TP53/EGFR/TERT/AR/HIF1A",5
"BP","GO:0042445","hormone metabolic process","6/24","241/18986",0.024896265560166,19.695020746888,10.3910779041359,4.3687828997079e-07,2.52584857819228e-05,1.14765405085085e-05,"CYP2C9/ALDH1A1/CYP1A2/HIF1A/CYP2D6/CYP3A4",6
"BP","GO:0072593","reactive oxygen species metabolic process","6/24","242/18986",0.0247933884297521,19.6136363636364,10.3675615162508,4.47618735375847e-07,2.52584857819228e-05,1.14765405085085e-05,"TP53/EGFR/MAPT/CYP1A2/ALOX5/HIF1A",6
"BP","GO:0006805","xenobiotic metabolic process","5/24","127/18986",0.0393700787401575,31.1450131233596,12.1262595037117,4.74930366844456e-07,2.54263591765172e-05,1.15528160948599e-05,"CYP2C9/CYP2A6/CYP1A2/CYP2D6/CYP3A4",5
"BP","GO:0006979","response to oxidative stress","7/24","405/18986",0.0172839506172839,13.6730452674897,9.17155144757587,4.82778971706023e-07,2.54263591765172e-05,1.15528160948599e-05,"TP53/EGFR/MAPT/PTGS1/PTGS2/ALOX5/HIF1A",7
"BP","GO:0042572","retinol metabolic process","4/24","52/18986",0.0769230769230769,60.8525641025641,15.3756008553026,5.10423334950177e-07,2.60151248135897e-05,1.18203298620041e-05,"ALDH1A1/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:0019748","secondary metabolic process","4/24","59/18986",0.0677966101694915,53.6327683615819,14.4048977118307,8.53039487134046e-07,4.21188246772435e-05,1.91372674416256e-05,"CYP2A6/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:0046456","icosanoid biosynthetic process","4/24","60/18986",0.0666666666666667,52.7388888888889,14.2801298209975,9.13200130966844e-07,4.37229153614429e-05,1.98661081122612e-05,"CYP2C9/PTGS1/PTGS2/ALOX5",4
"BP","GO:0008203","cholesterol metabolic process","5/24","148/18986",0.0337837837837838,26.7257882882883,11.1776627787943,1.01449355022128e-06,4.71441120396946e-05,2.14205758901211e-05,"MAPK1/CYP2C9/CYP1A2/CYP2D6/CYP3A4",5
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","5/24","153/18986",0.0326797385620915,25.8523965141612,10.9805245367885,1.19552527847446e-06,5.39694268568472e-05,2.45217515765288e-05,"TP53/EGFR/MAPT/ALOX5/HIF1A",5
"BP","GO:0071456","cellular response to hypoxia","5/24","156/18986",0.032051282051282,25.355235042735,10.8667159446333,1.31580231097069e-06,5.77491014259359e-05,2.62390987158483e-05,"TP53/TERT/PTGS2/PTPN1/HIF1A",5
"BP","GO:0019373","epoxygenase P450 pathway","3/24","18/18986",0.166666666666667,131.847222222222,19.758721501315,1.43025485078477e-06,5.85585778553349e-05,2.66068954679137e-05,"CYP2C9/CYP2A6/CYP1A2",3
"BP","GO:0016125","sterol metabolic process","5/24","159/18986",0.0314465408805031,24.8768343815514,10.7560694652641,1.44543325085953e-06,5.85585778553349e-05,2.66068954679137e-05,"MAPK1/CYP2C9/CYP1A2/CYP2D6/CYP3A4",5
"BP","GO:1902652","secondary alcohol metabolic process","5/24","159/18986",0.0314465408805031,24.8768343815514,10.7560694652641,1.44543325085953e-06,5.85585778553349e-05,2.66068954679137e-05,"MAPK1/CYP2C9/CYP1A2/CYP2D6/CYP3A4",5
"BP","GO:0042327","positive regulation of phosphorylation","7/24","479/18986",0.0146137787056367,11.5607167710508,8.32840795076725,1.48542920544365e-06,5.86744536150241e-05,2.66595452134886e-05,"MAPK1/TP53/EGFR/MAPT/PTGS2/PTPN1/AR",7
"BP","GO:0036294","cellular response to decreased oxygen levels","5/24","163/18986",0.0306748466257669,24.2663599182004,10.6132079500962,1.63372545300411e-06,6.29582003840609e-05,2.86059244916253e-05,"TP53/TERT/PTGS2/PTPN1/HIF1A",5
"BP","GO:0071453","cellular response to oxygen levels","5/24","178/18986",0.0280898876404494,22.2214419475655,10.1200447619782,2.51867206683578e-06,9.47500444190603e-05,4.30509862050627e-05,"TP53/TERT/PTGS2/PTPN1/HIF1A",5
"BP","GO:0008202","steroid metabolic process","6/24","334/18986",0.0179640718562874,14.2110778443114,8.66597899571567,2.9191238751274e-06,0.000107260830760495,4.87354340963742e-05,"MAPK1/CYP2C9/CYP2A6/CYP1A2/CYP2D6/CYP3A4",6
"BP","GO:0060571","morphogenesis of an epithelial fold","3/24","23/18986",0.130434782608696,103.184782608696,17.4447789741768,3.09129068722365e-06,0.00011100543831394,5.04368480547016e-05,"EGFR/AR/HIF1A",3
"BP","GO:0010038","response to metal ion","6/24","345/18986",0.0173913043478261,13.7579710144928,8.50795934360362,3.51880240262576e-06,0.000121624489128047,5.52617598836298e-05,"EGFR/TERT/MAPT/CYP1A2/PTGS2/HIF1A",6
"BP","GO:0001523","retinoid metabolic process","4/24","84/18986",0.0476190476190476,37.6706349206349,11.9832065058772,3.540966139171e-06,0.000121624489128047,5.52617598836298e-05,"ALDH1A1/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:0006066","alcohol metabolic process","6/24","363/18986",0.0165289256198347,13.0757575757576,8.26440757715182,4.71460841949475e-06,0.000158491091548973,7.20126078856758e-05,"MAPK1/CYP2C9/ALDH1A1/CYP1A2/CYP2D6/CYP3A4",6
"BP","GO:0034308","primary alcohol metabolic process","4/24","103/18986",0.0388349514563107,30.7216828478964,10.7603243340989,7.98474276499259e-06,0.00026283111601434,0.00011942093345888,"ALDH1A1/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:2001233","regulation of apoptotic signaling pathway","6/24","403/18986",0.0148883374689826,11.7779156327543,7.7803339766412,8.57739136730506e-06,0.000272343008818099,0.000123742792814086,"TP53/TERT/PTGS2/PTPN1/AR/HIF1A",6
"BP","GO:1901992","positive regulation of mitotic cell cycle phase transition","4/24","105/18986",0.0380952380952381,30.1365079365079,10.6509538633292,8.61844964614238e-06,0.000272343008818099,0.000123742792814086,"CDC25B/EGFR/CDC25A/TERT",4
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","5/24","244/18986",0.0204918032786885,16.2107240437158,8.50757299853502,1.1713756696104e-05,0.000362896776075378,0.000164887142760432,"TERT/PTGS2/PTPN1/AR/HIF1A",5
"BP","GO:1901989","positive regulation of cell cycle phase transition","4/24","125/18986",0.032,25.3146666666667,9.70308463627459,1.71804558943923e-05,0.000522021544483458,0.000237187670444849,"CDC25B/EGFR/CDC25A/TERT",4
"BP","GO:0007611","learning or memory","5/24","282/18986",0.0177304964539007,14.0263002364066,7.84056286860288,2.3527391914299e-05,0.000700644842720943,0.000318347623408183,"MAPK1/EGFR/MAPT/PTGS2/HIF1A",5
"BP","GO:0045931","positive regulation of mitotic cell cycle","4/24","136/18986",0.0294117647058824,23.2671568627451,9.27144435112878,2.39460895613487e-05,0.000700644842720943,0.000318347623408183,"CDC25B/EGFR/CDC25A/TERT",4
"BP","GO:0001890","placenta development","4/24","152/18986",0.0263157894736842,20.8179824561403,8.72727781417641,3.70371389277954e-05,0.00106397599101667,0.000483432129162803,"MAPK1/EGFR/PTGS2/HIF1A",4
"BP","GO:0001666","response to hypoxia","5/24","317/18986",0.0157728706624606,12.4776550998948,7.33147104861983,4.1170013883296e-05,0.00116158253456442,0.000527781005045261,"TP53/TERT/PTGS2/PTPN1/HIF1A",5
"BP","GO:0062197","cellular response to chemical stress","5/24","321/18986",0.0155763239875389,12.3221703011423,7.27841898892907,4.37042056014413e-05,0.00120304059944782,0.000546618047184155,"TP53/MAPT/PTGS2/ALOX5/HIF1A",5
"BP","GO:0018105","peptidyl-serine phosphorylation","4/24","159/18986",0.0251572327044025,19.9014675052411,8.5147592948457,4.4162249853148e-05,0.00120304059944782,0.000546618047184155,"MAPK1/EGFR/TOP1/PTGS2",4
"BP","GO:0050890","cognition","5/24","329/18986",0.0151975683890578,12.0225430597771,7.1750956964534,4.91350410210426e-05,0.00131581974259741,0.000597860802432668,"MAPK1/EGFR/MAPT/PTGS2/HIF1A",5
"BP","GO:0036293","response to decreased oxygen levels","5/24","331/18986",0.0151057401812689,11.9498992950655,7.14982390728881,5.05711294868526e-05,0.00133170640982045,0.000605079128246202,"TP53/TERT/PTGS2/PTPN1/HIF1A",5
"BP","GO:0018209","peptidyl-serine modification","4/24","171/18986",0.0233918128654971,18.504873294347,8.18038541809338,5.86426378527578e-05,0.00151894045585832,0.000690151492934958,"MAPK1/EGFR/TOP1/PTGS2",4
"BP","GO:0070482","response to oxygen levels","5/24","358/18986",0.0139664804469274,11.0486499068901,6.82865174897621,7.33370057183459e-05,0.00186891079088688,0.000849165329370321,"TP53/TERT/PTGS2/PTPN1/HIF1A",5
"BP","GO:1901990","regulation of mitotic cell cycle phase transition","5/24","368/18986",0.0135869565217391,10.7484148550725,6.71831325185275,8.35274111136435e-05,0.00206497396318864,0.000938249329043741,"CDC25B/TP53/EGFR/CDC25A/TERT",5
"BP","GO:0097267","omega-hydroxylase P450 pathway","2/24","11/18986",0.181818181818182,143.833333333333,16.8579154881865,8.36445149646033e-05,0.00206497396318864,0.000938249329043741,"CYP2C9/CYP1A2",2
"BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","4/24","189/18986",0.0211640211640212,16.7425044091711,7.73801033544177,8.64859624447153e-05,0.00208162173737305,0.000945813474276097,"TP53/PTGS2/PTPN1/HIF1A",4
"BP","GO:0061180","mammary gland epithelium development","3/24","69/18986",0.0434782608695652,34.3949275362319,9.88661834539105,8.80299415600636e-05,0.00208162173737305,0.000945813474276097,"MAPK1/AR/HIF1A",3
"BP","GO:0008217","regulation of blood pressure","4/24","190/18986",0.0210526315789474,16.6543859649123,7.71523164630083,8.82713015215155e-05,0.00208162173737305,0.000945813474276097,"PTGS1/PTGS2/PTPN1/AR",4
"BP","GO:1901993","regulation of meiotic cell cycle phase transition","2/24","12/18986",0.166666666666667,131.847222222222,16.130377552571,0.000100295911392331,0.00233040499999828,0.00105885157228436,"CDC25B/CDC25A",2
"BP","GO:0030324","lung development","4/24","198/18986",0.0202020202020202,15.9814814814815,7.53903798765753,0.00010353631042162,0.00237083145603131,0.00107721988874974,"MAPK1/EGFR/CYP1A2/THRB",4
"BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","3/24","74/18986",0.0405405405405405,32.0709459459459,9.52731350177413,0.000108463592353349,0.00244817822740416,0.00111236345842081,"TP53/EGFR/MAPT",3
"BP","GO:0030323","respiratory tube development","4/24","202/18986",0.0198019801980198,15.6650165016502,7.4547494461866,0.000111849483705527,0.00248904484865821,0.00113093177000993,"MAPK1/EGFR/CYP1A2/THRB",4
"BP","GO:0001701","in utero embryonic development","5/24","403/18986",0.0124069478908189,9.81492969396195,6.36329874314565,0.00012804597261764,0.00280989773244265,0.00127671569188933,"MAPK1/TP53/EGFR/AR/HIF1A",5
"BP","GO:0051000","positive regulation of nitric-oxide synthase activity","2/24","14/18986",0.142857142857143,113.011904761905,14.915591917601,0.000138073322582589,0.00298843629699302,0.0013578371449362,"TERT/HIF1A",2
"BP","GO:0044771","meiotic cell cycle phase transition","2/24","15/18986",0.133333333333333,105.477777777778,14.4010213635303,0.000159192372933069,0.00335365265645666,0.00152377822232075,"CDC25B/CDC25A",2
"BP","GO:0070243","regulation of thymocyte apoptotic process","2/24","15/18986",0.133333333333333,105.477777777778,14.4010213635303,0.000159192372933069,0.00335365265645666,0.00152377822232075,"TP53/HIF1A",2
"BP","GO:0060541","respiratory system development","4/24","225/18986",0.0177777777777778,14.0637037037037,7.0129128102901,0.000169377330911542,0.00347887472331327,0.00158067459113901,"MAPK1/EGFR/CYP1A2/THRB",4
"BP","GO:0150076","neuroinflammatory response","3/24","86/18986",0.0348837209302326,27.5959302325581,8.79432191833823,0.000169540097275394,0.00347887472331327,0.00158067459113901,"EGFR/MAPT/PTGS2",3
"BP","GO:0001892","embryonic placenta development","3/24","87/18986",0.0344827586206897,27.2787356321839,8.74004221151206,0.000175449580309705,0.00355397867806838,0.00161479910622428,"MAPK1/EGFR/HIF1A",3
"BP","GO:0048708","astrocyte differentiation","3/24","90/18986",0.0333333333333333,26.3694444444444,8.58254564706035,0.000193977224801664,0.00387954449603327,0.00176272441458674,"MAPK1/EGFR/MAPT",3
"BP","GO:0051223","regulation of protein transport","5/24","446/18986",0.0112107623318386,8.86864723467862,5.98248323833446,0.000205516188534876,0.0039886914601714,0.00181231683933171,"EGFR/PTGS2/PTPN1/ALOX5/HIF1A",5
"BP","GO:0090399","replicative senescence","2/24","17/18986",0.117647058823529,93.0686274509804,13.5108527778561,0.000205873795561297,0.0039886914601714,0.00181231683933171,"TP53/TERT",2
"BP","GO:2000243","positive regulation of reproductive process","3/24","92/18986",0.0326086956521739,25.7961956521739,8.48175772664286,0.000207008037806364,0.0039886914601714,0.00181231683933171,"CDC25B/CDC25A/AR",3
"BP","GO:0001934","positive regulation of protein phosphorylation","5/24","455/18986",0.010989010989011,8.69322344322344,5.90926501134398,0.000225492335298811,0.00410851905929411,0.00186676215752071,"MAPK1/TP53/EGFR/PTGS2/PTPN1",5
"BP","GO:0001503","ossification","5/24","456/18986",0.0109649122807018,8.67415935672515,5.90125491818124,0.000227800357893171,0.00410851905929411,0.00186676215752071,"MAPK1/EGFR/PTGS2/ALOX5/HIF1A",5
"BP","GO:0006089","lactate metabolic process","2/24","18/18986",0.111111111111111,87.8981481481482,13.1221456526088,0.000231429238150111,0.00410851905929411,0.00186676215752071,"TP53/HIF1A",2
"BP","GO:0009404","toxin metabolic process","2/24","18/18986",0.111111111111111,87.8981481481482,13.1221456526088,0.000231429238150111,0.00410851905929411,0.00186676215752071,"CYP1A2/CYP3A4",2
"BP","GO:0010663","positive regulation of striated muscle cell apoptotic process","2/24","18/18986",0.111111111111111,87.8981481481482,13.1221456526088,0.000231429238150111,0.00410851905929411,0.00186676215752071,"TP53/PTPN1",2
"BP","GO:0010666","positive regulation of cardiac muscle cell apoptotic process","2/24","18/18986",0.111111111111111,87.8981481481482,13.1221456526088,0.000231429238150111,0.00410851905929411,0.00186676215752071,"TP53/PTPN1",2
"BP","GO:0019896","axonal transport of mitochondrion","2/24","18/18986",0.111111111111111,87.8981481481482,13.1221456526088,0.000231429238150111,0.00410851905929411,0.00186676215752071,"MAPT/HIF1A",2
"BP","GO:0044772","mitotic cell cycle phase transition","5/24","467/18986",0.0107066381156317,8.46984296930764,5.81473593819808,0.000254400193924551,0.00439098238457788,0.00199510325535118,"CDC25B/TP53/EGFR/CDC25A/TERT",5
"BP","GO:0034599","cellular response to oxidative stress","4/24","251/18986",0.0159362549800797,12.6069057104914,6.58559954791253,0.000257331641363227,0.00439098238457788,0.00199510325535118,"TP53/MAPT/ALOX5/HIF1A",4
"BP","GO:0060749","mammary gland alveolus development","2/24","19/18986",0.105263157894737,83.2719298245614,12.7643296991117,0.000258456558079584,0.00439098238457788,0.00199510325535118,"AR/HIF1A",2
"BP","GO:0061377","mammary gland lobule development","2/24","19/18986",0.105263157894737,83.2719298245614,12.7643296991117,0.000258456558079584,0.00439098238457788,0.00199510325535118,"AR/HIF1A",2
"BP","GO:0048661","positive regulation of smooth muscle cell proliferation","3/24","101/18986",0.0297029702970297,23.4975247524752,8.06502617254636,0.000272666624596665,0.00458311986024181,0.00208240356074944,"EGFR/TERT/PTGS2",3
"BP","GO:0000082","G1/S transition of mitotic cell cycle","4/24","256/18986",0.015625,12.3606770833333,6.51064716516799,0.000277413964066395,0.00461383224447268,0.00209635815505021,"TP53/EGFR/CDC25A/TERT",4
"BP","GO:1901987","regulation of cell cycle phase transition","5/24","479/18986",0.0104384133611691,8.25765483646486,5.72354240288219,0.000286058900535071,0.00470805273797304,0.00213916853251007,"CDC25B/TP53/EGFR/CDC25A/TERT",5
"BP","GO:0050673","epithelial cell proliferation","5/24","482/18986",0.0103734439834025,8.20625864453665,5.70124107422779,0.000294423401017855,0.00479576261451764,0.0021790207215863,"MAPK1/EGFR/ALOX5/AR/HIF1A",5
"BP","GO:0010288","response to lead ion","2/24","21/18986",0.0952380952380952,75.3412698412698,12.126404459487,0.000316913033985388,0.00500722593696913,0.00227510199134773,"MAPT/PTGS2",2
"BP","GO:0032930","positive regulation of superoxide anion generation","2/24","21/18986",0.0952380952380952,75.3412698412698,12.126404459487,0.000316913033985388,0.00500722593696913,0.00227510199134773,"EGFR/MAPT",2
"BP","GO:0070242","thymocyte apoptotic process","2/24","21/18986",0.0952380952380952,75.3412698412698,12.126404459487,0.000316913033985388,0.00500722593696913,0.00227510199134773,"TP53/HIF1A",2
"BP","GO:1903522","regulation of blood circulation","4/24","267/18986",0.0149812734082397,11.8514357053683,6.35287573711339,0.000325537141842993,0.00509256122883098,0.00231387525520502,"EGFR/PTGS2/PTPN1/THRB",4
"BP","GO:1903829","positive regulation of protein localization","5/24","497/18986",0.0100603621730382,7.95858484238766,5.59256783211428,0.00033908146159185,0.00525243832661885,0.00238651761409331,"EGFR/TERT/MAPT/PTGS2/HIF1A",5
"BP","GO:0090068","positive regulation of cell cycle process","4/24","274/18986",0.0145985401459854,11.5486618004866,6.25721958785425,0.000359120913204971,0.00550884507634809,0.00250301954834737,"CDC25B/EGFR/CDC25A/TERT",4
"BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","3/24","112/18986",0.0267857142857143,21.1897321428571,7.62388687735591,0.000369529926397316,0.00561401234334383,0.00255080374294503,"PTGS2/PTPN1/HIF1A",3
"BP","GO:0032928","regulation of superoxide anion generation","2/24","23/18986",0.0869565217391304,68.7898550724638,11.5729466583997,0.00038121568878594,0.00568227158756401,0.00258181826963268,"EGFR/MAPT",2
"BP","GO:0038128","ERBB2 signaling pathway","2/24","23/18986",0.0869565217391304,68.7898550724638,11.5729466583997,0.00038121568878594,0.00568227158756401,0.00258181826963268,"MAPK1/EGFR",2
"BP","GO:0006260","DNA replication","4/24","283/18986",0.0141342756183746,11.1813898704358,6.13922427753263,0.000405869677031019,0.00599321579167299,0.00272310004658293,"TP53/EGFR/CDC25A/TOP1",4
"BP","GO:0032770","positive regulation of monooxygenase activity","2/24","24/18986",0.0833333333333333,65.9236111111111,11.3223106879116,0.000415550753837921,0.00607935362096218,0.00276223795436123,"TERT/HIF1A",2
"BP","GO:0044843","cell cycle G1/S phase transition","4/24","287/18986",0.0139372822299652,11.0255516840883,6.08848006296308,0.000427986403585631,0.00620383961160823,0.00281879987682666,"TP53/EGFR/CDC25A/TERT",4
"BP","GO:0006706","steroid catabolic process","2/24","25/18986",0.08,63.2866666666667,11.0867262829933,0.000451337079739216,0.00626901300415644,0.00284841230435356,"CYP1A2/CYP3A4",2
"BP","GO:0050999","regulation of nitric-oxide synthase activity","2/24","25/18986",0.08,63.2866666666667,11.0867262829933,0.000451337079739216,0.00626901300415644,0.00284841230435356,"TERT/HIF1A",2
"BP","GO:0042303","molting cycle","3/24","120/18986",0.025,19.7770833333333,7.34087268672772,0.000452321191439136,0.00626901300415644,0.00284841230435356,"EGFR/TERT/PTGS2",3
"BP","GO:0042633","hair cycle","3/24","120/18986",0.025,19.7770833333333,7.34087268672772,0.000452321191439136,0.00626901300415644,0.00284841230435356,"EGFR/TERT/PTGS2",3
"BP","GO:1902749","regulation of cell cycle G2/M phase transition","3/24","120/18986",0.025,19.7770833333333,7.34087268672772,0.000452321191439136,0.00626901300415644,0.00284841230435356,"CDC25B/TP53/CDC25A",3
"BP","GO:0048143","astrocyte activation","2/24","26/18986",0.0769230769230769,60.8525641025641,10.8647345104519,0.000488571250440735,0.0067125441364901,0.0030499367762067,"EGFR/MAPT",2
"BP","GO:0030278","regulation of ossification","3/24","125/18986",0.024,18.986,7.17754771885425,0.000509652553597971,0.00688248747593842,0.00312715287047968,"MAPK1/ALOX5/HIF1A",3
"BP","GO:1990748","cellular detoxification","3/24","125/18986",0.024,18.986,7.17754771885425,0.000509652553597971,0.00688248747593842,0.00312715287047968,"ALDH1A1/PTGS1/PTGS2",3
"BP","GO:0006007","glucose catabolic process","2/24","27/18986",0.0740740740740741,58.5987654320988,10.6550672260185,0.000527249855595543,0.00705978620204201,0.00320771098587119,"TP53/PKM",2
"BP","GO:0006275","regulation of DNA replication","3/24","127/18986",0.0236220472440945,18.6870078740157,7.11485002334625,0.000533828778689097,0.00708781067503171,0.0032204442907206,"TP53/EGFR/CDC25A",3
"BP","GO:0030282","bone mineralization","3/24","128/18986",0.0234375,18.541015625,7.08403592607164,0.000546187934681877,0.00717155036056247,0.00325849256888981,"PTGS2/ALOX5/HIF1A",3
"BP","GO:0051402","neuron apoptotic process","4/24","307/18986",0.0130293159609121,10.3072747014115,5.84902879387428,0.000551711751155861,0.00717155036056247,0.00325849256888981,"TP53/TERT/THRB/HIF1A",4
"BP","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","2/24","28/18986",0.0714285714285714,56.5059523809524,10.456616139374,0.000567369490550828,0.00717155036056247,0.00325849256888981,"CDC25B/CDC25A",2
