"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","geneSymbol"
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/22","99/9397",0.0404040404040404,17.2580348943985,7.87749405292328,7.3294141645017e-05,0.00104707754892926,0.000561362268795027,"5594/7157/1956/1565",4,"MAPK1/TP53/EGFR/CYP2D6"
"Metabolism","Biosynthesis of other secondary metabolites","hsa00232","Caffeine metabolism","2/22","6/9397",0.333333333333333,142.378787878788,16.7803557989973,7.80430471251622e-05,0.00104707754892926,0.000561362268795027,"1548/1544",2,"CYP2A6/CYP1A2"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","6/22","333/9397",0.018018018018018,7.6961506961507,6.02676966220984,8.72820160927511e-05,0.00108095419930253,0.000579524317376971,"5594/7157/1956/7015/5315/5743",6,"MAPK1/TP53/EGFR/TERT/PKM/PTGS2"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/22","106/9397",0.0377358490566038,16.1183533447684,7.58269172863182,9.56876881940359e-05,0.00110040841423141,0.000589954167812853,"5594/7157/1956/367",4,"MAPK1/TP53/EGFR/AR"
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/22","41/9397",0.0731707317073171,31.2538802660754,9.40427048625916,0.000112086905182744,0.00120306611562812,0.000644991314034038,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","5/22","227/9397",0.0220264317180617,9.40828994793753,6.21202430590952,0.00014811956202873,0.0014904530929141,0.000799066058312886,"5594/1956/1544/5770/3091",5,"MAPK1/EGFR/CYP1A2/PTPN1/HIF1A"
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/22","122/9397",0.0327868852459016,14.0044709388972,7.00346319945637,0.000165073041950695,0.00156333880906246,0.000838141760988048,"5594/7157/7068/3091",4,"MAPK1/TP53/THRB/HIF1A"
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","3/22","59/9397",0.0508474576271186,21.7187981510015,7.73322839074928,0.000332616460382179,0.00297506945119616,0.00159500290943501,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","4/22","150/9397",0.0266666666666667,11.390303030303,6.21399101267651,0.000364710003663757,0.00309043739946657,0.00165685431027302,"5594/7157/1956/7015",4,"MAPK1/TP53/EGFR/TERT"
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","4/22","157/9397",0.0254777070063694,10.8824551244933,6.04889293759652,0.000433798698186602,0.00349207952040215,0.00187218385533165,"5594/5743/240/3091",4,"MAPK1/PTGS2/ALOX5/HIF1A"
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","5/22","300/9397",0.0166666666666667,7.11893939393939,5.21776947757611,0.000539980569684148,0.00413985103424513,0.00221946900822557,"5594/994/7157/1956/4137",5,"MAPK1/CDC25B/TP53/EGFR/MAPT"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","4/22","170/9397",0.0235294117647059,10.0502673796791,5.76836611173395,0.000586247161371616,0.00417924248195045,0.00224058766603424,"5594/7157/1956/7015",4,"MAPK1/TP53/EGFR/TERT"
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","3/22","73/9397",0.0410958904109589,17.5535491905355,6.87778550649938,0.000622992668116838,0.00417924248195045,0.00224058766603424,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","3/22","73/9397",0.0410958904109589,17.5535491905355,6.87778550649938,0.000622992668116838,0.00417924248195045,0.00224058766603424,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Cancer: specific types","hsa05214","Glioma","3/22","76/9397",0.0394736842105263,16.8606459330144,6.72502059418397,0.00070097173877488,0.00450976214985208,0.00241778683418026,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","3/22","77/9397",0.038961038961039,16.6416765053129,6.6760243557172,0.000728284570783566,0.00450976214985208,0.00241778683418026,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","4/22","196/9397",0.0204081632653061,8.71706864564007,5.28883587485092,0.000999950346651146,0.00596266688188276,0.00319672235576585,"5594/7157/5743/3091",4,"MAPK1/TP53/PTGS2/HIF1A"
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","3/22","87/9397",0.0344827586206897,14.7288401253918,6.23183347440303,0.00103941473670446,0.00597663473605062,0.00320421084247238,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","3/22","90/9397",0.0333333333333333,14.2378787878788,6.11268483072444,0.00114681328744787,0.00622808271660594,0.00333901786702639,"5594/1956/3091",3,"MAPK1/EGFR/HIF1A"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","4/22","204/9397",0.0196078431372549,8.37522281639929,5.15892014466131,0.0011605123074421,0.00622808271660594,0.00333901786702639,"5594/7157/1956/3091",4,"MAPK1/TP53/EGFR/HIF1A"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","3/22","93/9397",0.032258064516129,13.7785923753666,5.99911029302681,0.00126100007504162,0.00654906490586133,0.00351110377430944,"5594/1956/5770",3,"MAPK1/EGFR/PTPN1"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","4/22","216/9397",0.0185185185185185,7.90993265993266,4.97683111070355,0.00143427170396637,0.00721617951058081,0.00386875920148824,"5594/1559/7157/1548",4,"MAPK1/CYP2C9/TP53/CYP2A6"
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","3/22","99/9397",0.0303030303030303,12.9435261707989,5.78698821798061,0.00151038328775061,0.00736883967660148,0.00395060381485009,"5594/1956/3091",3,"MAPK1/EGFR/HIF1A"
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","4/22","226/9397",0.0176991150442478,7.55993563958166,4.83551413998751,0.00169471450640403,0.00802497163326612,0.00430237119272849,"5594/7157/1956/5743",4,"MAPK1/TP53/EGFR/PTGS2"
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","3/22","110/9397",0.0272727272727273,11.649173553719,5.44216532693934,0.00204389725151262,0.00938045153776659,0.00502907503168918,"5594/1956/3091",3,"MAPK1/EGFR/HIF1A"
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","3/22","111/9397",0.027027027027027,11.544226044226,5.41326220349788,0.00209749226931427,0.00938045153776659,0.00502907503168918,"5594/994/993",3,"MAPK1/CDC25B/CDC25A"
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","2/22","37/9397",0.0540540540540541,23.0884520884521,6.52116856577404,0.00331613972635838,0.0144296890795595,0.00773608698609921,"5594/7157",2,"MAPK1/TP53"
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","3/22","148/9397",0.0202702702702703,8.65816953316953,4.54889225832059,0.00473323804945141,0.0200539822621494,0.0107513994475073,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/22","47/9397",0.0425531914893617,18.1760154738878,5.71824491542226,0.00530689850790142,0.0216425435630356,0.0116030635643604,"5594/5315",2,"MAPK1/PKM"
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","3/22","155/9397",0.0193548387096774,8.26715542521994,4.4192088025132,0.0053847991418563,0.0216425435630356,0.0116030635643604,"5594/1956/5743",3,"MAPK1/EGFR/PTGS2"
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","3/22","157/9397",0.0191082802547771,8.16184134337001,4.38364869623616,0.00558042469361334,0.0216425435630356,0.0116030635643604,"5594/7157/993",3,"MAPK1/TP53/CDC25A"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","3/22","158/9397",0.0189873417721519,8.11018411967779,4.36610437071932,0.0056798319795451,0.0216425435630356,0.0116030635643604,"994/7157/993",3,"CDC25B/TP53/CDC25A"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","3/22","159/9397",0.0188679245283019,8.05917667238422,4.34871394180301,0.00578030666590391,0.0216425435630356,0.0116030635643604,"5594/7157/1956",3,"MAPK1/TP53/EGFR"
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","2/22","52/9397",0.0384615384615385,16.4283216783217,5.40415641466085,0.00646381962190294,0.0236517036165085,0.0126802203109101,"5743/240",2,"PTGS2/ALOX5"
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","2/22","59/9397",0.0338983050847458,14.4791987673344,5.03106994104597,0.00825850146182794,0.0295470830078733,0.0158408683010501,"5742/5743",2,"PTGS1/PTGS2"
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","2/22","60/9397",0.0333333333333333,14.2378787878788,4.98296173567346,0.00853122247734286,0.0298592786707,0.0160082435501628,"5594/5743",2,"MAPK1/PTGS2"
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","2/22","63/9397",0.0317460317460317,13.5598845598846,4.84528391879345,0.00937348118584482,0.0321091589557663,0.0172144559292111,"1544/1576",2,"CYP1A2/CYP3A4"
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","2/22","69/9397",0.0289855072463768,12.3807641633729,4.59619987653272,0.0111647692007231,0.0373700973045778,0.0200349655375965,"5594/240",2,"MAPK1/ALOX5"
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","2/22","70/9397",0.0285714285714286,12.2038961038961,4.55768504950767,0.0114769445132483,0.0373700973045778,0.0200349655375965,"5594/3091",2,"MAPK1/HIF1A"
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","3/22","205/9397",0.0146341463414634,6.25077605321508,3.68207495333173,0.0116056202809248,0.0373700973045778,0.0200349655375965,"5594/7157/5315",3,"MAPK1/TP53/PKM"
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","2/22","75/9397",0.0266666666666667,11.390303030303,4.37624373944238,0.0130951395870113,0.0413395583040944,0.0221630845435485,"5594/7157",2,"MAPK1/TP53"
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","2/22","77/9397",0.025974025974026,11.0944510035419,4.30841289514904,0.0137688326304401,0.0426304241057857,0.0228551472812973,"5594/7157",2,"MAPK1/TP53"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","2/22","79/9397",0.0253164556962025,10.8135788262371,4.24303695293348,0.0144574071777785,0.0433448035689408,0.0232381424822043,"5594/5743",2,"MAPK1/PTGS2"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","3/22","224/9397",0.0133928571428571,5.7205762987013,3.46386167120745,0.0147308691691945,0.0433448035689408,0.0232381424822043,"5594/7157/7015",3,"MAPK1/TP53/TERT"
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","2/22","80/9397",0.025,10.6784090909091,4.21122190975569,0.014807231032868,0.0433448035689408,0.0232381424822043,"5594/1956",2,"MAPK1/EGFR"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","2/22","81/9397",0.0246913580246914,10.5465768799102,4.1799650461061,0.0151607225958084,0.0435870774629493,0.0233680310687273,"1548/1576",2,"CYP2A6/CYP3A4"
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","2/22","86/9397",0.0232558139534884,9.93340380549683,4.03148672300796,0.0169825875272305,0.0479683612611249,0.0257169377143657,"5594/1956",2,"MAPK1/EGFR"
